x1,x2,x3,x4,0.1,0.3,0.5,2,3,5,s
2,5,30,4,0,0,0,0,0,0,43.87
2,10,40,5.5,0,0,0,0,0,0,172.41
2,15,50,7,0,0,0,0,0,0,21.46
2,20,60,8.5,0,0,0,0,0,0,39.15
2,20,60,4,0,0,0,0,0,0,62
4,5,40,7,0,0,0,0,0,0,29.01
4,5,60,5.5,0,0,0,0,0,0,190
4,10,30,8.5,0,0,0,0,0,0,56.72
4,15,60,4,0,0,0,0,0,0,116.86
4,20,50,5.5,0,0,0,0,0,0,126.89
6,5,50,8.5,0,0,0,0,0,0,36.24
6,10,60,7,0,0,0,0,0,0,33.49
6,15,30,5.5,0,0,0,0,0,0,23.27
6,20,40,4,0,0,0,0,0,0,11.87
8,5,60,5.5,0,0,0,0,0,0,35.44
8,10,50,4,0,0,0,0,0,0,3.89
8,15,40,8.5,0,0,0,0,0,0,14.21
8,20,30,7,0,0,0,0,0,0,12.44